"variable","label"
"abbr","state abbreviation"
"state","state name"
"edspend","total spending on public primary & secondary education (in $1,000s)"
"schpopco","count of school-aged population"
"read8th","NAEP average reading scores for 8th graders"
"math8th","NAEP average math scores for 8th graders"
"region","region"
"pop25co","count of population aged 25 or over"
"colco","count of population aged 25 or over w/ college degree"
"hsco","count of population aged 25 or over w/ high school degree"
"popco","count of population"
"vcrimeco","count of violent crimes"
"murdco","count of homicides"
"executco","count of executions"
"hip","percent population lacking health insurance"
"prisco","count of prisoners"
"povr","poverty rate"
"uap","percent population living in urbanized areas"
