"contrast","sized_f","estimate","SE","df","t.ratio","p.value","d"
"Midwest - Northeast","Non-City",-0.925000000000009,0.211071746217446,312,-4.38239611211191,1.60563189533056e-05,-0.979933561101303
"Midwest - South","Non-City",0.0999999999999942,0.211071746217446,312,0.473772552660716,0.635993460273888,0.105938763362296
"Midwest - West","Non-City",-0.450000000000005,0.211071746217446,312,-2.13197648697337,0.0337896561404487,-0.476724435130364
"Northeast - South","Non-City",1.025,0.211071746217446,312,4.85616866477263,1.89617469073524e-06,1.0858723244636
"Northeast - West","Non-City",0.475000000000004,0.211071746217446,312,2.25041962513855,0.0251185916890975,0.503209125970939
"South - West","Non-City",-0.549999999999999,0.211071746217446,312,-2.60574903963408,0.00960694713909912,-0.58266319849266
"Midwest - Northeast","City",1.225,0.211071746217446,312,5.80371377009412,1.59400090428884e-08,1.2977498511882
"Midwest - South","City",0.650000000000003,0.211071746217446,312,3.07952159229484,0.00225769849972845,0.688601961854966
"Midwest - West","City",0.399999999999999,0.211071746217446,312,1.89509021064297,0.0590046953374283,0.423755053449207
"Northeast - South","City",-0.575000000000002,0.211071746217446,312,-2.72419217779928,0.00680922142996202,-0.609147889333238
"Northeast - West","City",-0.825000000000005,0.211071746217446,312,-3.90862355945115,0.000113887323058949,-0.873994797738997
"South - West","City",-0.250000000000003,0.211071746217446,312,-1.18443138165187,0.237143834975515,-0.264846908405759
